	100_8h(8hpi)	100_8h(24hpi)	100_8h(48hpi)	100_8h(72hpi)	0_8h(8hpi)	0_8h(24hpi)	0_8h(48hpi)	0_8h(72hpi)
LHFPL3-AS1	6.3426	6.2828	6.3426	6.4757	6.3426	6.2828	6.3426	6.3426
LHFPL3-AS2	 8.027	7.3787	7.5101	7.9365	7.0254	6.8772	7.0416	6.9055
LHFPL4	6.3897	6.3706	6.8798	7.6298	6.7308	 6.211	6.4114	6.3804
LHFPL5	6.4854	6.2887	6.4356	6.5816	6.3208	6.2887	6.2882	6.2887
LHPP	 8.241	8.2538	8.4158	8.3433	 8.566	8.6891	8.5536	8.6527
LHX1	6.7882	7.1104	6.7492	6.7294	6.6235	6.7455	6.5802	6.0841
LHX2	6.4366	6.3395	6.5212	6.5568	6.4366	6.3395	6.3521	6.5024
LHX3	6.3212	6.3212	6.3212	6.3212	6.3212	6.3212	6.3212	6.3212
LHX4	7.3544	7.0296	7.1417	7.1871	6.9462	7.0375	6.9548	6.9388
LHX5	6.5068	6.6066	6.6652	6.6066	6.7237	6.7903	6.6738	6.8574
LHX6	6.5682	6.2659	6.5244	6.5588	6.5155	6.3936	6.5329	6.9947
LHX8	7.0427	6.3469	6.8798	6.8835	6.4218	6.3469	6.2742	6.7445
LHX9	6.3268	6.3268	6.3268	6.3268	6.3268	6.3268	6.3268	6.3268
LIAS	7.9939	8.0031	8.0699	8.0744	8.0959	8.0901	8.0709	8.0892
LIF	8.3198	8.7304	8.2794	8.4486	  8.22	 8.373	8.2105	7.6037
LIFR	 11.182	10.8549	 10.844	10.8257	10.9922	11.0047	11.2353	11.4055
LIG1	10.8342	10.6542	10.5084	10.2216	10.4658	10.9022	10.6073	10.4057
LIG3	10.8962	11.0387	10.9811	10.8943	11.1132	11.0957	11.1368	11.2559
LIG4	11.1625	10.5765	10.8989	11.1698	10.6808	10.2653	10.7037	11.1569
LILRA4	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
LILRA6	 6.626	6.7188	6.8758	7.2431	 6.966	6.6698	6.8862	6.9746
LILRB1	 6.312	6.3742	6.3742	6.3742	6.3949	6.3367	6.3742	6.3367
LILRB2	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105	6.3105
LILRB3	6.6547	6.7126	6.8291	6.8553	6.9334	6.8287	6.8984	7.0647
LILRB4	6.4121	6.4845	6.5397	6.3587	6.4121	6.3988	6.2846	6.3587
LILRB5	6.3845	6.7044	6.7125	6.8061	6.8379	6.5468	6.7366	6.7889
LILRP2	6.2975	6.4188	6.3988	6.4741	6.5169	6.4417	6.5254	6.5138
LIM2	6.3376	6.4201	 6.368	6.4744	6.5963	6.5114	6.6952	6.7872
LIMA1	11.6981	 11.661	  11.49	11.5771	11.2246	11.7713	11.1959	10.4267
LIMCH1	9.51244	9.50118	9.78949	10.7677	9.25549	8.54941	8.84996	8.46127
LIMD1	10.9934	10.9141	 10.946	10.7217	10.8755	10.9123	 10.864	11.0789
LIMD1-AS1	6.8441	6.4322	6.5949	6.6079	6.6662	6.7001	6.8265	7.0999
LIMD2	12.2007	11.9199	11.9877	12.0022	11.7489	11.6665	 11.736	11.9156
LIME1	7.9161	7.9376	8.1417	8.1264	8.0742	7.9865	7.9277	8.2064
LIMK1	11.4827	11.6434	11.6901	11.6516	11.8495	11.8252	11.8255	11.8542
LIMK2	 10.611	10.7175	10.6185	10.7094	 10.631	10.8175	10.6336	10.2596
LIMS1	11.1074	11.2973	11.1799	11.0845	11.3037	11.2585	11.3294	 11.344
LIMS2	9.3221	9.9217	9.4644	9.4539	9.4079	9.9584	9.3085	8.5479
LIMS3	6.3649	6.3649	6.3649	6.3649	6.3649	6.3649	6.3649	6.3649
LIMS3-LOC440895	6.8524	6.8784	6.8868	6.8052	6.8527	6.8984	6.8184	6.9271
LIN28A	13.2724	13.6928	13.9207	14.0108	14.2674	14.0892	14.1166	14.3071
LIN28B	10.4342	10.7199	10.6667	10.8481	10.8065	10.5734	10.7601	10.7062
LIN37	8.2452	8.0626	8.2167	8.1219	8.0727	8.3017	8.0148	8.0126
LIN52	8.7948	8.6626	8.7911	8.7428	8.7723	8.7665	8.7648	8.9326
LIN54	9.6909	9.7087	9.6031	9.5843	9.6255	9.7024	9.6806	  9.59
LIN7A	8.5632	8.2261	8.1391	8.3045	7.9823	 7.935	 8.116	 8.103
LIN7B	7.0404	7.1444	7.0795	7.2079	7.0848	7.0525	7.0678	6.9635
LIN7C	9.94549	9.90526	10.0212	10.1736	10.0258	9.89712	9.99014	9.99907
LIN9	9.3323	9.2981	8.9785	8.9123	8.8485	9.3572	8.9604	8.3637
LINC-ROR	 6.547	 6.944	6.7455	6.4843	6.7885	6.8751	6.7108	6.6017
LINC00029	6.1801	6.3421	6.3421	6.3421	6.3961	6.3421	6.3421	6.3421
LINC00032	6.4573	6.6601	6.4948	6.3897	6.4573	6.3729	6.4197	6.3897
LINC00035	6.2581	6.3727	6.3727	6.3329	 6.411	6.3329	6.3727	6.3727
LINC00051	6.3102	6.3102	6.3102	6.3102	6.3102	6.3102	6.3102	6.3102
LINC00052	6.2892	 6.357	6.4159	 6.357	6.4582	6.5926	6.4159	6.3738
LINC00085	8.6779	9.2223	8.8057	8.8216	8.9027	9.1097	8.8872	8.4161
LINC00086	8.9559	8.6888	9.0922	9.1455	 9.199	8.8472	9.1842	9.7772
LINC00087	8.9732	8.8599	  9.15	9.4702	9.3994	9.0803	9.4357	9.7333
LINC00092	6.6237	6.4304	6.5354	6.6782	6.5904	6.5086	 6.662	6.6817
LINC00094	9.93342	10.0589	10.0989	10.2465	10.0545	9.96361	9.94952	9.81125
LINC00102	6.5397	6.5166	6.4017	6.5825	6.5372	 6.511	6.6739	6.5025
LINC00111	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124
LINC00112	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124	6.3124
LINC00113	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152
LINC00114	6.3247	6.3247	6.3247	6.3247	6.3247	6.3247	6.3247	6.3247
LINC00115	7.0161	7.1024	7.0653	7.1622	7.1322	7.0975	 7.141	 7.035
LINC00116	7.8946	7.8364	7.9191	7.9184	7.8243	7.8036	7.7646	7.6788
LINC00152	7.3272	7.5969	7.3577	7.5068	7.2699	7.3917	7.2108	6.6415
LINC00158	6.3644	6.3644	 6.449	6.3644	6.3644	6.3644	6.2799	6.3644
LINC00162	6.315	6.315	6.315	6.315	6.315	6.315	6.315	6.315
LINC00163	6.3785	6.3371	6.2699	6.3371	6.3785	6.3341	6.4871	6.5027
LINC00167	6.5791	6.5772	 6.594	6.5867	6.6023	6.5567	 6.599	6.8157
LINC00173	6.6827	6.7759	6.6723	6.7273	6.7884	6.7472	6.8516	 6.781
LINC00174	 8.009	8.1584	8.0863	 8.195	8.2564	 7.997	8.3028	 8.423
LINC00176	8.3103	 7.692	8.1615	8.2722	8.4311	 7.788	8.6402	9.7272
LINC00184	6.6956	6.3101	6.6976	6.6878	6.5805	6.6014	6.5209	6.8376
LINC00189	6.3308	6.3308	6.2539	6.3308	6.3308	6.3308	6.4076	6.3308
LINC00202-1	6.6017	6.7924	6.5962	6.5255	6.7956	6.8168	6.8981	6.8021
LINC00202-2	6.2107	6.3867	6.3663	6.5466	6.5206	 6.335	  6.52	6.4886
LINC00207	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216	6.3216
LINC00210	6.3279	6.3279	6.3279	6.3279	6.3279	6.3279	6.3279	6.3279
LINC00222	6.3969	6.3969	6.4356	6.3969	6.3969	6.3969	6.3582	6.3969
LINC00229	6.3172	6.3172	6.3172	6.3172	6.3172	6.3172	6.3172	6.3172
LINC00235	6.9262	6.7738	6.8201	6.8052	 6.748	6.7039	 6.765	 6.943
LINC00239	 6.372	6.3259	6.3673	6.3673	6.3657	6.3259	6.3673	6.3673
LINC00240	6.6959	 6.627	6.6816	 6.686	6.6585	6.7065	6.6541	6.7453
LINC00242	9.1569	8.5117	8.3568	8.2177	8.1245	8.3757	8.4084	8.3895
LINC00244	6.3706	6.3784	6.3784	6.3784	 6.381	6.3784	6.3784	6.3784
LINC00260	6.7235	6.8924	6.8005	6.9276	6.9204	6.7694	6.9418	6.8833
LINC00261	15.1534	14.6843	14.9373	14.2951	14.7418	14.5766	14.7521	15.6919
LINC00263	7.2598	7.4045	7.3698	7.3797	7.3822	7.1615	7.3334	7.4505
LINC00264	6.3232	6.3232	6.3232	6.3232	6.3232	6.3232	6.3232	6.3232
LINC00265	8.8547	8.9234	9.1247	9.1382	9.3816	 8.967	 9.375	9.8185
LINC00266-1	6.7492	6.6844	6.7564	6.6828	 6.751	6.8434	6.7448	6.7912
LINC00269	6.3317	6.3317	6.3317	6.3317	6.3317	6.3317	6.3317	6.3317
LINC00271	6.5032	 6.629	6.5474	 6.376	6.4494	6.6016	6.3783	6.3873
LINC00277	6.3356	6.3356	6.3356	6.3356	6.3356	6.3356	6.3356	6.3356
LINC00278	6.3602	6.3602	6.3602	6.3602	6.3602	6.3602	6.3602	6.3602
LINC00282	6.4904	6.6106	6.6754	6.7009	6.6997	 6.516	6.6194	6.7322
LINC00284	 6.574	6.6046	6.5065	6.5083	 6.574	6.7584	6.6416	6.5013
LINC00294	8.9395	 9.085	9.0476	8.9835	9.1699	9.0951	 9.177	9.2856
LINC00299	6.4622	6.3036	6.3411	6.4534	6.3007	6.3036	6.3411	6.3036
LINC00303	6.3329	6.2935	6.3329	6.4512	6.3329	6.2935	6.3329	6.2935
LINC00304	 6.763	6.8001	6.6766	6.6563	6.6896	6.5884	6.7393	6.8254
LINC00305	8.5534	7.8522	7.6233	7.4303	7.5149	8.6064	7.9257	7.2813
LINC00310	6.3749	6.6289	6.5434	6.6402	6.6778	6.4689	6.6607	6.7238
LINC00311	 6.498	6.5602	6.5333	6.5255	6.5903	6.6986	6.6012	6.5122
LINC00312	6.8089	7.0411	6.9362	6.8024	6.9125	7.1653	 6.837	6.6024
LINC00313	6.4616	6.2981	6.3381	6.2981	 6.297	6.2981	6.3381	 6.458
LINC00314	6.3121	6.3121	6.3121	6.3121	6.3121	6.3121	6.3121	6.3121
LINC00319	6.7403	7.1186	6.8436	6.9523	7.0222	6.7585	7.0598	7.0982
LINC00323	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104	6.3104
LINC00324	7.0776	6.9974	7.1801	7.1636	7.1207	7.1756	7.0397	7.0665
LINC00326	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144
LINC00327	6.7321	6.6786	6.8015	6.7755	6.8063	6.7808	6.7741	6.9344
LINC00330	6.3231	6.3231	6.3231	6.3231	6.3231	6.3231	6.3231	6.3231
LINC00331	6.31	6.31	6.31	6.31	6.31	6.31	6.31	6.31
LINC00332	6.3251	6.3251	6.3251	6.2873	6.3251	6.3251	6.3251	6.2873
LINC00336	6.3307	6.3307	6.3307	6.3307	6.3307	6.3307	6.3307	6.3307
LINC00338	7.2127	 7.384	7.3249	7.5596	7.2851	7.0165	7.2091	7.1617
LINC00339	7.7892	7.6861	7.7268	7.7391	7.6718	7.6774	7.6755	7.6401
LINC00340	8.9896	8.9351	8.7457	8.9533	8.8706	8.8246	9.0551	8.8517
LINC00341	6.6216	6.5379	6.7946	7.0683	6.9087	6.5534	6.8792	7.2077
LINC00346	6.6925	6.5023	6.6835	6.7463	6.7265	6.4969	6.7525	7.1306
LINC00348	6.3484	6.3039	6.2722	6.3039	6.3484	6.3484	6.4245	6.3484
LINC00351	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152	6.3152
LINC00359	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187	6.3187
LINC00371	6.2431	6.5605	6.4874	6.4893	6.6998	6.5189	6.6839	6.7738
LINC00379	6.3976	6.3562	6.3169	6.3976	6.3976	6.3562	6.4783	6.5218
LINC00381	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144
LINC00398	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
LINC00417	6.314	6.314	6.314	6.314	6.314	6.314	6.314	6.314
LINC00426	6.3975	6.4053	6.2519	6.4053	6.4079	6.4053	6.5588	6.4053
LINC00441	6.5472	 6.562	6.3825	6.3501	6.4567	6.5485	6.5761	6.4745
LINC00443	6.3841	6.2862	6.3022	6.4439	6.3841	6.2862	 6.466	6.5202
LINC00460	6.343	6.343	6.343	6.343	6.343	6.343	6.343	6.343
LINC00461	6.9087	6.6693	 6.907	6.6794	 7.001	6.6693	7.0489	7.8735
LINC00467	7.4919	7.2772	7.2796	7.2679	7.1495	7.2497	7.1905	7.1746
LINC00469	6.3443	 6.302	6.3443	6.3443	6.3443	 6.302	6.3443	6.3443
LINC00470	6.2783	6.4506	6.3168	 6.353	6.4311	 6.353	6.4691	6.2994
LINC00471	 6.584	6.6649	   6.8	6.7887	 6.778	6.6917	 6.659	6.7727
LINC00472	7.1812	7.1696	 7.343	7.4238	7.3462	7.0992	7.2669	 7.426
LINC00473	6.3622	6.3622	6.3622	6.3622	6.3622	6.3622	6.3622	6.3622
LINC00475	6.3448	6.3162	6.4153	6.5403	6.4976	 6.339	6.5035	 6.527
LINC00476	8.5829	8.3907	8.5904	8.5289	8.5165	8.2407	8.4758	8.9933
LINC00477	6.4526	6.4524	6.4062	 6.327	6.4526	6.5222	6.4989	6.4669
LINC00478	 6.692	7.1807	 6.874	 6.762	7.0096	7.1212	6.9863	6.6571
LINC00479	9.33961	 8.8106	9.15125	9.12043	9.25931	8.90966	9.40752	10.1396
LINC00482	6.8772	6.8766	7.0865	7.2461	7.6203	7.1545	7.7826	8.3655
LINC00485	6.3942	6.3988	6.4746	6.4875	6.5124	6.5171	6.4912	6.4271
LINC00486	6.4629	 6.397	6.5045	6.6363	 6.614	 6.397	6.6479	 6.912
LINC00487	6.3236	6.3236	6.3236	6.3236	6.3236	6.3236	6.3236	6.3236
LINC00488	7.0251	7.0082	7.2477	7.1535	 7.136	6.7321	6.9688	7.4043
LINC00493	9.0595	9.0411	 9.011	9.2023	9.0581	9.1514	9.1059	8.9534
LINC00494	 6.459	6.4158	  6.52	6.4158	6.4014	6.3624	6.3116	6.4158
LINC00507	6.6173	6.6089	6.5714	6.6648	6.6606	6.6628	6.7282	6.7341
LINC00511	6.4461	6.3968	 6.427	6.6342	6.5163	6.3352	6.5704	6.6823
LINC00514	6.8612	7.2008	 7.066	7.3985	7.3567	7.3131	7.3996	7.1447
LINC00515	6.4029	6.4734	6.3573	6.3445	6.4857	6.4822	6.5726	6.5904
LINC00516	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103	6.3103
LINC00518	6.3142	6.4455	6.5511	6.4455	6.4893	6.4363	  6.34	6.4455
LINC00520	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106	6.3106
LINC00521	6.3331	6.3331	6.3331	6.2932	6.3331	6.3331	6.3331	6.2932
LINC00525	6.3407	6.3032	6.3407	6.4529	6.3407	6.3407	6.3407	6.3032
LINC00526	8.5831	8.0699	8.1127	8.0532	7.8681	7.8446	 7.981	 8.226
LINC00534	6.3429	6.3429	6.3429	6.3429	6.3429	6.3035	6.3429	6.3035
LINC00535	6.5694	6.5944	6.5594	6.5435	6.6511	6.7223	 6.702	 6.607
LINC00536	6.3348	6.4196	6.3348	6.3633	6.3348	6.3624	6.3348	6.2526
LINC00538	6.3876	6.4593	6.5404	6.6405	6.5387	6.4262	6.4614	6.4262
LINC00547	 6.206	6.3706	6.3706	6.3706	6.4254	6.3706	6.3706	6.3706
LINC00548	6.3314	6.2891	6.3314	6.4584	6.3314	6.2891	6.3314	6.2891
LINC00551	6.4654	 6.496	6.3845	 6.459	6.4591	6.3397	6.5368	6.5663
LINC00552	6.3392	6.3755	6.4193	6.6388	6.5553	6.3755	6.5832	6.6594
LINC00563	6.4875	 6.325	6.2896	 6.325	6.3261	6.3265	6.4433	6.3265
LINC00565	6.4539	6.2548	6.5566	6.6683	6.5966	6.4928	6.5652	6.6473
LINC00568	6.3348	6.4564	6.5319	6.7725	6.6034	6.4575	6.5405	6.5514
LINC00570	6.3241	6.3241	6.3241	6.3241	6.3241	6.3241	6.3241	6.3241
LINC00571	6.5109	 6.421	 6.421	 6.421	 6.391	6.3518	 6.421	 6.421
LINC00574	7.9242	7.4576	7.6502	7.4229	7.5074	7.2933	 7.573	8.2121
LINC00577	6.4866	6.3935	6.2859	6.3935	6.3625	6.3935	6.5012	6.3536
LINC00578	6.3503	6.3503	6.3503	6.3503	6.3503	6.3503	6.3503	6.3503
LINC00582	6.3353	6.3353	6.3353	6.3353	6.3353	6.2979	6.3353	6.2979
LINC00589	6.3322	6.2899	6.3322	6.3322	6.3322	6.3322	6.3322	6.2899
LINC00592	6.317	6.317	6.317	6.317	6.317	6.317	6.317	6.317
LINC00593	6.3306	6.3306	6.3306	6.3306	6.3306	6.3306	6.3306	6.3306
LINC00595	6.4656	6.3412	6.5202	6.6161	6.4656	6.3232	 6.411	6.5998
LINC00597	6.6368	6.6917	6.4001	6.5724	6.5241	6.3501	6.7044	6.5099
LINC00598	6.5116	6.8903	6.6418	6.5532	6.6447	6.7025	 6.581	6.3428
LINC00599	6.2956	6.4595	6.4269	6.5856	6.4707	6.3083	6.4269	 6.374
LINC00602	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108	6.3108
LINC00605	6.4555	6.6043	6.5478	6.7958	6.7184	 6.627	6.7576	6.4473
LINC00607	8.4869	8.0998	7.7314	7.7666	 7.303	8.0681	7.4666	6.6671
LINC00608	6.3253	6.3253	6.3253	6.3253	6.3253	6.3253	6.3253	6.3253
LINC00612	6.6396	6.6642	6.7783	6.7823	 6.741	6.5352	6.6529	6.9452
LINC00616	6.4995	6.3777	6.5211	6.5355	6.3897	6.3777	6.3132	6.3777
LINC00617	8.84374	9.34822	10.0143	10.2545	8.57775	7.69336	7.27423	7.39617
LINC00622	7.0303	7.1654	7.4295	7.5202	7.6816	7.2347	7.6081	8.1214
LINC00623	8.6156	8.7046	8.4913	 8.282	8.3949	8.5114	8.4088	8.1996
LINC00624	6.3608	6.3608	6.3608	6.3608	6.3608	6.3608	6.3608	6.3608
LINC00628	6.3665	6.4439	6.3665	6.4536	6.3665	6.2843	6.3665	6.2843
LINC00629	6.5386	6.5043	 6.601	6.5872	6.5247	6.3756	6.4554	6.5534
LINC00630	7.5381	7.4553	7.4102	 7.348	7.3939	7.3935	7.4498	 7.618
LINC00632	6.2144	6.4127	6.4127	6.4127	6.4789	6.4127	6.4127	6.4127
LINC00633	6.3488	6.3488	6.3488	6.3488	6.3488	6.3488	6.3488	6.3089
LINC00634	6.8446	6.6865	6.8305	7.0109	 6.692	6.6136	6.6298	6.5548
LINC00635	6.315	6.315	6.315	6.315	6.315	6.315	6.315	6.315
LINC00636	6.3149	6.3149	6.3149	6.3149	6.3149	6.3149	6.3149	6.3149
LINC00637	6.5558	6.3465	6.4592	6.4042	6.4317	6.4042	6.4662	6.6383
LINC00638	8.0624	7.8129	7.8438	 7.794	7.8321	7.7598	7.9355	8.2273
LINC00639	6.9648	6.7864	6.9965	6.9507	6.8537	6.8347	6.7664	6.8141
LINC00641	10.2512	10.3803	10.3152	10.3846	10.4399	10.2188	10.4703	10.5872
LINC00643	8.2043	7.3532	7.6248	7.8158	6.7435	6.6953	6.5925	6.5533
LINC00645	6.3785	6.3785	6.4521	6.4842	6.3785	6.3785	6.3048	6.3785
LINC00648	7.2736	7.1632	7.2293	7.2074	7.1551	7.2434	7.1402	7.1479
LINC00649	7.8241	8.3171	8.0581	8.0013	8.3096	8.3907	8.3184	8.0713
LINC00652	6.4435	6.6366	6.5118	6.3482	6.5506	6.5149	6.5359	6.5648
LINC00654	6.5763	6.5788	6.7316	6.7506	6.7149	6.5762	6.6289	6.8598
LINC00657	13.7602	13.7053	 13.768	13.8898	13.8187	13.8077	13.8402	13.8185
LINC00658	6.3129	6.3129	6.3129	6.3129	6.3129	6.3129	6.3129	6.3129
LINC00659	6.3852	6.2632	6.3852	6.4652	6.3852	6.4639	6.3852	6.3857
LINC00662	  7.34	7.3084	7.2015	7.2312	7.2359	7.3862	7.3224	 7.094
LINC00663	7.4517	7.3571	7.3724	7.5278	7.5088	7.3122	7.6166	7.7546
LINC00664	6.3609	6.5651	6.6502	6.7172	6.8422	 6.655	6.7935	6.7716
LINC00665	8.7409	8.8136	8.8342	8.7967	8.8264	8.7888	8.7759	8.8033
LINC00667	10.2921	10.0886	10.3301	10.2454	 10.161	9.93701	10.0574	10.5118
LINC00668	 6.366	6.2969	 6.366	6.3075	 6.366	6.2969	 6.366	6.5416
LINC00669	6.3174	6.2729	6.3174	6.2729	6.3174	6.3174	6.3174	6.3174
LINC00670	6.4544	6.4112	6.4112	6.4112	6.3968	6.4112	6.4112	6.4112
LINC00671	 6.333	 6.333	 6.333	6.2931	 6.333	6.2931	 6.333	6.4529
LINC00672	6.8222	6.8946	6.9603	7.1736	 7.084	6.8604	7.0768	 7.135
LINC00673	9.3243	8.3578	8.8292	9.3812	8.6662	7.9991	8.8322	 9.641
LINC00674	10.7879	10.7457	10.7638	10.8083	10.7299	10.7366	 10.725	10.7053
LINC00675	6.2788	6.3952	6.3952	6.3952	 6.434	6.3952	6.3952	6.3952
LINC00678	6.1359	6.6823	6.4399	 6.807	 6.785	6.4119	6.8055	6.5897
LINC00685	6.9485	7.2385	7.2642	7.4475	7.4212	7.2114	7.3419	7.4309
LINC00689	6.4253	6.3854	6.4253	6.3854	6.4253	 6.329	6.4253	6.5452
LINC00691	6.2276	 6.344	 6.344	 6.344	6.3828	 6.344	 6.344	 6.344
LINC00692	6.3188	6.3188	6.3188	6.3188	6.3188	6.3188	6.3188	6.3188
LINC00693	7.1302	7.0446	7.2429	7.1553	7.3273	7.0671	7.3131	7.8049
LINC00696	6.2555	6.3345	6.3719	6.4217	6.4107	6.3719	6.3719	6.3345
LINC00698	 6.485	6.5334	6.4366	6.4816	6.4205	6.3982	6.4366	6.3123
LINC00700	6.2074	6.3387	6.3387	6.3387	6.3825	6.3387	6.3387	6.3387
LINC00704	 6.403	 6.588	 6.403	6.2861	 6.403	6.2355	 6.403	6.4133
LINC00707	6.3547	6.4286	6.3547	6.3547	6.3547	6.2983	6.3547	6.2983
LINC00837	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144	6.3144
LINC00839	6.4463	6.4965	6.5794	6.7058	6.5973	6.3929	6.5397	6.7249
LINC00842	8.3665	8.4638	8.3349	8.2534	 8.226	8.3051	8.1873	8.0201
LINC00847	7.3208	7.2719	7.4042	 7.308	  7.38	7.3882	7.3263	7.4929
LINC00852	6.7691	6.7648	6.6544	6.7422	6.7235	6.7396	6.8154	6.6674
LINC00853	6.2461	6.3608	6.3608	6.3608	 6.399	6.3608	6.3608	6.3608
LINC00854	6.5228	6.5057	6.4385	6.5479	 6.512	6.4916	6.5908	6.5423
LINC00856	6.3284	6.3284	6.2522	6.3284	6.3284	6.3284	6.4045	6.3284
LINC00857	7.2269	7.3722	7.2791	7.1639	 7.238	7.4176	7.1915	7.1107
LINC00858	6.5159	6.4336	6.4936	6.5778	6.5159	6.4715	6.5381	6.6197
LINC00861	6.3881	6.3881	6.4161	6.3881	6.3881	6.3881	6.3601	6.3881
LINC00862	 6.568	6.4301	6.4471	6.5019	6.4034	6.5285	6.4419	6.2789
LINC00864	6.5456	6.3745	6.3745	6.6107	6.3174	6.2957	6.3745	6.2957
LINC00865	6.3269	6.2711	6.3269	6.3269	6.3269	6.2711	6.3269	6.3269
LINC00869	7.3499	7.3505	 7.356	7.3464	7.3402	7.4519	7.3292	7.3324
LINC00870	6.5307	6.3482	6.4219	6.3482	6.2874	6.3482	6.2745	6.3482
LINC00875	7.4947	7.8216	7.6607	7.9313	7.9201	7.8491	7.9668	 7.653
LINC00880	  6.58	6.7212	6.6417	6.8088	6.6418	6.7243	 6.611	6.2715
LINC00881	6.3252	6.3252	6.3252	6.3252	6.3252	6.3252	6.3252	6.3252
LINC00882	6.3268	6.4283	6.4511	6.4283	6.5742	6.3919	6.5737	6.7226
LINC00883	8.4727	8.4555	8.4332	 8.428	8.3795	8.5082	8.3725	8.1727
LINC00884	6.3589	6.5488	6.6178	 6.708	6.7097	6.6174	6.6263	6.6454
LINC00886	7.1578	6.9198	7.2289	7.2751	7.1532	 7.047	7.0798	7.4358
LINC00887	7.7059	8.0493	7.7265	7.8766	7.9391	7.8729	8.0352	7.8205
LINC00888	9.2547	8.8582	9.1079	9.2397	9.0299	8.9581	9.0643	9.2407
LINC00889	6.9335	7.0761	6.9707	6.9358	6.9312	6.9852	6.8928	6.7817
LINC00890	7.5284	6.9922	6.9325	7.0006	6.5913	6.7691	6.7186	6.5312
LINC00891	6.4445	6.4985	6.5156	6.4423	6.4445	6.5013	6.3735	6.3346
LINC00892	6.3267	6.3267	6.3267	6.3267	6.3267	6.3267	6.3267	6.3267
LINC00893	7.3923	7.4281	7.4919	7.4478	7.5113	 7.262	7.4711	7.5757
LINC00894	8.0768	 8.044	8.0085	 8.246	8.1195	7.8821	8.2091	8.3471
LINC00896	6.3454	6.3454	6.1933	6.3454	6.3454	6.3454	6.4975	6.3454
LINC00899	6.3662	6.4944	6.3711	6.4133	6.3662	6.2735	6.3613	6.3008
LINC00900	6.7522	6.3999	6.6135	6.6066	 6.537	6.6047	 6.568	6.8833
LINC00906	6.6871	6.3615	6.3615	6.3615	 6.253	6.3615	6.3615	6.3615
LINC00907	6.7805	6.8602	6.9472	7.0643	6.8534	6.8423	6.7232	6.5889
LINC00908	6.5803	6.5167	6.4948	6.6132	6.4991	6.5167	 6.544	6.5655
LINC00909	8.7706	8.6756	8.8359	8.7267	8.7658	8.6852	8.6981	9.0243
LINC00910	6.9044	7.0005	7.0761	7.1458	7.1606	7.0703	 7.117	7.1278
LINC00917	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186	6.3186
LINC00920	6.3321	6.3321	6.3321	6.3321	6.3321	6.3321	6.3321	6.3321
LINC00921	6.4982	6.4393	6.4882	6.5922	6.4789	6.4393	6.4793	6.5759
LINC00922	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239	6.3239
LINC00923	7.2788	7.4496	7.3367	7.5062	7.4328	7.3898	7.4519	7.3477
LINC00924	6.4316	6.4922	6.4807	 6.595	6.5017	6.5118	6.4877	6.3434
LINC00925	 6.501	 6.262	6.5768	 6.805	6.5449	 6.262	 6.491	6.8077
LINC00926	7.0418	7.1954	7.1244	7.2085	7.1982	7.0133	7.1939	7.1499
LINC00927	6.2609	6.3309	6.3723	6.3309	6.4094	6.3309	6.3723	6.4965
LINC00929	6.3233	6.3233	6.3233	6.2855	6.3233	6.3233	6.3233	6.2855
LINC00930	6.6985	6.4658	6.6453	6.7307	6.5415	6.4813	6.5162	6.6639
LINC00933	7.0098	6.8062	6.8663	6.8222	6.8382	6.8439	6.8958	 6.942
LINC00934	6.6392	6.5321	6.3926	 6.483	6.3104	6.5081	6.3926	6.2438
LINC00935	6.5033	  6.32	 6.264	6.5592	6.3386	  6.32	6.4956	6.3798
LINC00936	7.8472	7.6049	7.7824	8.0731	7.5652	 7.537	 7.489	7.4018
LINC00937	7.0403	7.1337	 7.074	7.1904	7.1623	7.0114	7.1897	7.0486
LINC00938	9.2051	8.7199	8.8503	9.0832	8.6011	8.7457	8.6539	8.5006
LINC00939	6.9954	7.3307	7.2637	7.2245	7.3801	7.2688	7.3041	7.3029
LINC00940	6.2719	6.3883	6.2247	6.3883	6.4271	6.3883	6.5519	6.3883
LINC00941	6.9647	 6.938	 7.036	7.0369	7.1485	6.9943	7.1692	7.4248
