TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
NR4A2	MCOLN3	0.066439	40.09	0.086	rgb(218,201,201)	1.7818	None
SOX4	SUSD4	-0.066439	40.09	-8.5E-02	rgb(199,206,220)	1.7818	None
ARX	MAPK8IP2	0.065784	40.08	0.081	rgb(218,202,202)	1.7816	2,2
LMX1A	ACTL6B	0.065784	40.08	0.085	rgb(218,201,201)	1.7816	None
MAFA	SH3RF3-AS1	0.065784	40.08	0.078	rgb(218,202,202)	1.7816	None
EGR3	WSB1	-0.065129	40.07	-7.1E-02	rgb(202,208,220)	1.7814	None
FOXD4L5	ATP6V1G2	0.065129	40.07	0.072	rgb(218,203,203)	1.7814	None
NKX2-2	MAP6	0.065129	40.07	0.067	rgb(218,204,204)	1.7814	None
PRDM16	SEC11C	0.065129	40.07	0.066	rgb(218,204,205)	1.7814	None
SOX4	EID1	-0.065129	40.07	-7.0E-02	rgb(202,208,220)	1.7814	None
TFCP2L1	FER1L6-AS1	0.065129	40.07	0.068	rgb(218,204,204)	1.7814	None
ZFHX2	ONECUT3	-0.065129	40.07	-6.6E-02	rgb(203,208,219)	1.7814	None
LHX1	PBOV1	0.064475	40.06	0.062	rgb(218,205,205)	1.7812	None
LHX1	TNFRSF6B	0.064475	40.06	0.062	rgb(218,205,205)	1.7812	None
MAFA	CHRNB2	0.064475	40.06	0.056	rgb(218,206,206)	1.7812	None
ONECUT1	RUNX1T1	0.064475	40.06	0.062	rgb(218,205,205)	1.7812	None
PRDM16	AK127339	0.064475	40.06	0.06	rgb(218,205,206)	1.7812	2,2
SOX4	RSAD2	-0.064475	40.06	-5.6E-02	rgb(205,210,219)	1.7812	None
TET1	KCNG1	-0.064475	40.06	-5.7E-02	rgb(205,209,219)	1.7812	None
FOXA1	PKHD1L1	-0.06382	40.05	-4.9E-02	rgb(206,211,219)	1.781	None
MAFA	ACSL6	0.06382	40.05	0.049	rgb(218,208,208)	1.781	None
TP73	PTGDR2	0.06382	40.05	0.051	rgb(218,207,207)	1.781	None
ATF6	PDZD4	-0.063166	40.04	-3.6E-02	rgb(209,212,218)	1.7808	None
ETS1	FXYD1	-0.063166	40.04	-3.9E-02	rgb(209,212,218)	1.7808	None
HSF2	INSRR	0.063166	40.04	0.043	rgb(217,209,209)	1.7808	None
NHLH1	LMX1B	-0.063166	40.04	-3.8E-02	rgb(209,212,218)	1.7808	None
RFX2	APBB1	-0.063166	40.04	-4.4E-02	rgb(207,211,219)	1.7808	None
TEAD2	LRRC49	0.063166	40.04	0.041	rgb(217,209,209)	1.7808	None
EGR3	PHGR1	0.062511	40.03	0.033	rgb(217,211,211)	1.7806	None
FOXJ1	DPY19L2	-0.062511	40.03	-3.2E-02	rgb(210,213,218)	1.7806	None
HOXB9	TTC25	0.062511	40.03	0.032	rgb(217,211,211)	1.7806	None
HSF2	PYY	0.062511	40.03	0.026	rgb(217,212,212)	1.7806	None
ONECUT1	EBF3	-0.062511	40.03	-2.7E-02	rgb(211,213,218)	1.7806	None
ZFHX2	CITED4	0.062511	40.03	0.034	rgb(217,210,211)	1.7806	None
ZNF846	ZNF514	-0.062511	40.03	-2.7E-02	rgb(211,213,218)	1.7806	None
HSF2	FGF17	0.061856	40.02	0.024	rgb(217,212,212)	1.7804	None
MAFA	PKIA	-0.061856	40.02	-2.1E-02	rgb(212,214,218)	1.7804	None
ONECUT2	LOC100190986	0.061856	40.02	0.017	rgb(217,214,214)	1.7804	2,2
POU5F1	TMEM212	0.061856	40.02	0.022	rgb(217,213,213)	1.7804	None
LHX1	AEBP1	0.061202	40.01	0.007	rgb(217,216,216)	1.7802	None
LMX1B	HCP5	0.061202	40.01	0.011	rgb(217,215,215)	1.7802	None
NEUROG3	PCDH20	0.061202	40.01	0.011	rgb(217,215,215)	1.7802	None
NR4A2	POU5F1	0.061202	40.01	0.006	rgb(217,216,216)	1.7802	None
TP73	RCOR3	-0.061202	40.01	-7.2E-03	rgb(215,216,217)	1.7802	None
TGIF2	SPP1	-0.060547	40	-2.0E-03	rgb(217,217,217)	1.78	None
MYT1	NOV	0.059893	39.94	0.939	rgb(227, 38, 39)	1.7788	2,2
ARX	FAM171A2	0.059233	39.91	0.908	rgb(227, 44, 45)	1.7782	None
LMX1A	KCNMB2-IT1	0.058573	39.85	0.853	rgb(226, 54, 56)	1.777	2,2
SMAD9	SERTAD1	-0.057913	39.84	-8.4E-01	rgb( 36,107,249)	1.7768	None
E2F7	JAKMIP1	-0.057254	39.81	-8.1E-01	rgb( 41,110,248)	1.7762	None
HOXB9	NFRKB	-0.057254	39.81	-8.1E-01	rgb( 42,110,248)	1.7762	None
LMX1A	SYT4	0.056594	39.79	0.787	rgb(226, 67, 68)	1.7758	2,2
MYRF	BC107568	-0.056594	39.79	-7.9E-01	rgb( 45,112,247)	1.7758	2,2
GATA6	PER2	0.055934	39.78	0.779	rgb(226, 68, 70)	1.7756	None
SIX2	RNF213	0.055934	39.78	0.783	rgb(226, 67, 69)	1.7756	None
FOXA1	CPLX1	-0.055274	39.76	-7.6E-01	rgb( 53,117,246)	1.7752	None
NEUROD2	CIB4	0.054614	39.75	0.751	rgb(225, 74, 75)	1.775	None
NR4A3	CAMK1	0.054614	39.75	0.752	rgb(225, 73, 75)	1.775	None
RFX2	MICAL2	-0.054614	39.75	-7.5E-01	rgb( 55,118,245)	1.775	None
TEAD2	KAT2B	-0.054614	39.75	-7.5E-01	rgb( 55,118,245)	1.775	None
NEUROD1	FAM167A	0.053955	39.74	0.74	rgb(225, 76, 77)	1.7748	None
TEAD1	DUSP26	-0.053955	39.74	-7.4E-01	rgb( 56,119,245)	1.7748	2,2
HOXB9	GPRASP2	0.053295	39.73	0.726	rgb(225, 78, 80)	1.7746	2,2
MYRF	AL137655	0.053295	39.73	0.728	rgb(225, 78, 79)	1.7746	2,2
ZFP90	ZFR2	0.053295	39.73	0.734	rgb(225, 77, 78)	1.7746	2,2
LMX1B	NNMT	0.052635	39.72	0.718	rgb(225, 80, 81)	1.7744	None
ETS1	WNT9A	0.051975	39.71	0.707	rgb(225, 82, 83)	1.7742	None
NEUROG3	SLC7A2	0.051975	39.71	0.708	rgb(225, 82, 83)	1.7742	None
TGIF2	KSR2	0.051315	39.7	0.703	rgb(225, 83, 84)	1.774	None
NPAS3	RIC3	0.051315	39.7	0.698	rgb(225, 84, 85)	1.774	2,2
FOXA2	ZFP28	0.050656	39.69	0.693	rgb(225, 85, 86)	1.7738	None
GATA2	DENND2A	-0.050656	39.69	-6.9E-01	rgb( 67,126,243)	1.7738	None
HIC1	ZFP28	-0.050656	39.69	-6.9E-01	rgb( 68,126,243)	1.7738	None
TGIF2	FCAMR	-0.050656	39.69	-6.9E-01	rgb( 67,126,243)	1.7738	None
ZNF514	LOC100271836	0.050656	39.69	0.69	rgb(225, 85, 87)	1.7738	2,2
FOXP2	CHRNA5	-0.049996	39.68	-6.8E-01	rgb( 69,127,243)	1.7736	None
HIC1	AX746485	0.049996	39.68	0.683	rgb(225, 86, 88)	1.7736	2,2
NKX6-1	IGF2	0.049996	39.68	0.677	rgb(224, 88, 89)	1.7736	2,2
PDX1	F10	0.049996	39.68	0.685	rgb(225, 86, 88)	1.7736	None
RORC	MYO3A	0.049996	39.68	0.677	rgb(224, 88, 89)	1.7736	None
FEV	ITGA7	0.049336	39.67	0.666	rgb(224, 90, 91)	1.7734	None
NR4A3	AX747090	0.049336	39.67	0.67	rgb(224, 89, 90)	1.7734	2,2
E2F7	CADM2	-0.048676	39.66	-6.6E-01	rgb( 75,131,242)	1.7732	None
