	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HLF	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF846
GO_PRESYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.165226716424	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_BLOOD_CIRCULATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0102462599959	1	1	1	0.0364231622746	1	1	1	0.211287968443	1	1	1	1	1	1	0.043374258831	1	1	1	1	1	1
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	0.338878681947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_CELL_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	0.119045030661	1	1	1	1	1	0.0153624055536	1	1	1	1	1	1	1	0.000510974830038	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	0.392471617694	1	1	1	1	1	1	1	0.0180136600122	1	1	1	1	1	0.107897860727	1	1	0.0595346022454	1	1	1	1	0.194050029957	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.208259624163	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_EXOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0445511309558	0.100006607274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	1	0.0125176793622	1	1	0.85236661088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HORMONE_SECRETION	1	1	1	1	1	1	1	1	1	0.173946326461	1	1	0.612237056199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	1	1	0.671595281414	1	1	0.112556780086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.403528913101	1	1	1	1	1	1	1	0.3069039444	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_ION_TRANSPORT	1	1	0.0264100237033	1	1	0.0344050111383	1	1	1	1	1	1	1	1	1	0.0156850889252	1	1	1	1	1	1	1	0.0902292571237	1	1	1	1	1	1	0.88687924857	1	0.217084564784	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	1	0.0	1	1	1	8.23743878802e-05	1	1	0.0559094276321	1	0.453907165188	9.84674577819e-05	1	1	1	0.0421284982701	1	1	1	0.0801837965552	1	1	1	1	1	1	0.00365741671141	1	1	1	1	1	1
