	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
64	ARX	NTS	0.8363002923999999	ARX->LMX1A->NTS	3	-0.48426554603471494	ARX->LMX1A->ETV1->SPIB->RFX6->GATA2->NTS	7
65	ARX	GAST	0.7643157984000001	ARX->LMX1A->GAST	3	-0.44444561579790476	ARX->LMX1A->ETV1->SPIB->RFX6->INSM1->GAST	7
66	ISL1	GCG	0.5028209564987823	ISL1->ETV1->SPIB->RFX6->GATA2->GCG	6	-0.633778328520996	ISL1->ETV1->RFX6->GATA2->GCG	5
67	ISL1	SST	0.876163878	ISL1->ETV1->SST	3	-0.632619698058939	ISL1->ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	9
68	ISL1	GHRL	0.8646555501385201	ISL1->ARX->FEV->GHRL	4	-0.6236560451066407	ISL1->ETV1->SPIB->RFX6->FEV->GHRL	6
69	ISL1	GIP	0.8310788412929521	ISL1->ARX->LMX1A->GIP	4	-0.7838820864000001	ISL1->ARX->GIP	3
70	ISL1	TPH1	0.835737693500472	ISL1->ARX->LMX1A->TPH1	4	-0.6533332923057324	ISL1->ETV1->ARNT2->HHEX->TPH1	5
71	ISL1	TAC1	0.698744151891035	ISL1->ETV1->RFX6->TAC1	4	-0.554362916797243	ISL1->ETV1->SPIB->RFX6->TAC1	5
72	ISL1	CCK	0.5230632892302531	ISL1->ETV1->SPIB->RFX6->LMX1A->CCK	6	-0.7719200457615362	ISL1->ARX->LMX1A->CCK	4
73	ISL1	PYY	0.8552099702270881	ISL1->ARX->LMX1A->PYY	4	-0.5795016497701858	ISL1->ETV1->SPIB->RFX6->LMX1A->PYY	6
74	ISL1	SCT	0.6983202072000001	ISL1->ARX->SCT	3	-0.5548510805501267	ISL1->ETV1->RFX6->TFCP2L1->SCT	5
75	ISL1	NTS	0.7326994121774881	ISL1->ARX->LMX1A->NTS	4	-0.5070472841848385	ISL1->ETV1->SPIB->RFX6->GATA2->NTS	6
76	ISL1	GAST	0.6696323572942081	ISL1->ARX->LMX1A->GAST	4	-0.46535406927758394	ISL1->ETV1->SPIB->RFX6->INSM1->GAST	6
77	ST18	GCG	0.11636785396251322	ST18->ISL1->ETV1->SPIB->RFX6->GATA2->GCG	7	-0.14667531856961413	ST18->ISL1->ETV1->RFX6->GATA2->GCG	6
78	ST18	SST	0.20277060628554	ST18->ISL1->ETV1->SST	4	-0.14640717672178025	ST18->ISL1->ARX->FEV->SPIB->RFX6->ARNT2->LMX1B->ETV1->SST	10
79	ST18	GHRL	0.20010723396855773	ST18->ISL1->ARX->FEV->GHRL	5	-0.1443327185190299	ST18->ISL1->ETV1->SPIB->RFX6->FEV->GHRL	7
