Unnamed: 0	wt_0_8h_8hpi_1	wt_0_8h_8hpi_2	wt_0_8h_8hpi_3	wt_100_8h_8hpi_1	wt_100_8h_8hpi_2	wt_100_8h_8hpi_3	wt_0_8h_24hpi_1	wt_0_8h_24hpi_2	wt_0_8h_24hpi_3	wt_100_8h_24hpi_1	wt_100_8h_24hpi_2	wt_100_8h_24hpi_3	wt_0_8h_48hpi_1	wt_0_8h_48hpi_2	wt_0_8h_48hpi_3	wt_100_8h_48hpi_1	wt_100_8h_48hpi_2	wt_100_8h_48hpi_3	wt_0_8h_72hpi_1	wt_0_8h_72hpi_2	wt_0_8h_72hpi_3	wt_100_8h_72hpi_1	wt_100_8h_72hpi_2	wt_100_8h_72hpi_3
A4GNT	6.39734508044211	6.479177922326349	6.46107731721781	6.569461778005719	6.32396325235299	6.37826506767862	6.32407136735587	6.3577129384319	6.440374254833009	6.32407136735587	6.3577129384319	6.440374254833009	6.32484745777385	6.44465326470972	6.35352913417534	6.55590105189217	6.4360952449563005	6.52721937549068	6.55001668251677	6.68835820403633	6.440374254833009	6.56333760210354	6.3577129384319	6.440374254833009
AAAS	10.3515677855779	10.267244787703099	10.237785069606401	10.4428473137945	10.695816307419	10.7841954617089	10.4559178707383	10.539896022009302	10.457969616678099	10.485028956374	10.354054190455	10.2944546853062	10.4219635206685	10.3439468094142	10.3235975088604	10.3268118145956	10.4048285258499	10.425177826403699	10.423054478522099	10.3684593357814	10.354618609449	10.1335493648939	10.235141122282599	10.3905077590949
AACS	10.3728042764081	10.4380051663583	10.359373576829901	10.7198087931265	10.5242061232759	10.760100891861	10.4954686876656	10.4912426084822	10.4159529694186	10.372293439121	10.4259594941254	10.386284007095302	10.4211367395318	10.425161578785	10.429333606333302	10.497974071643501	10.493949232390301	10.489777204842	10.4740956517269	10.452652129973801	10.5525726485761	10.4963638438372	10.4683673897693	10.4834119972606
AACSP1	6.43487289036389	6.34453614957554	6.477310916533389	6.30175636658576	6.5727665889508	6.17444228807724	6.319310602967241	6.32996793836921	6.32684075439171	6.319310602967241	6.32996793836921	6.32684075439171	6.478429655926889	6.40159375941935	6.40159375941935	6.32475786291182	6.40159375941935	6.40159375941935	6.4791596202544905	6.6164712225698	6.32684075439171	6.488594211488429	6.32996793836921	6.6258527745023
AADAC	6.3528924855704005	6.29583487572658	6.35289248557039	6.3528924855704005	6.524065315101839	6.35289248557039	6.25408525464987	6.26853988371101	6.285287139273349	6.25408525464987	6.60595029114855	6.55570852446153	6.237365688511231	6.35289248557039	6.35289248557039	6.468419282629559	6.35289248557039	6.35289248557039	6.480030569810769	6.26853988371101	6.285287139273349	6.42336886317106	6.26853988371101	6.285287139273349
AADACL3	6.573247695673371	6.50424490453781	6.480826410210531	6.357214333703199	6.56422270710986	6.6344781900917	6.419460542172089	6.398097961080411	6.3775926402731	6.419460542172089	6.65969248333207	6.3775926402731	6.49144756729396	6.5850696481696	6.412580433087291	6.54703114306769	6.45340906219205	6.625898277274361	6.57930955945934	6.398097961080411	6.73255721090561	6.658726776919769	6.62106901523041	6.589214929271491
AADACL4	6.3816282623745595	6.337164219451469	6.287892732799389	6.40886075114833	6.54225287991758	6.690067339873821	6.388436384568	6.3168105635178495	6.388436384568	6.388436384568	6.3168105635178495	6.388436384568	6.388436384568	6.388436384568	6.530183269454111	6.388436384568	6.388436384568	6.24668949968189	6.388436384568	6.60331384771844	6.388436384568	6.388436384568	6.3168105635178495	6.388436384568
AADAT	9.26378134043291	9.153290237586019	9.250785028288119	9.653301778089869	9.98477508663055	9.692290714524221	9.68941424001189	9.82537895616804	9.62645508955724	9.645858996943721	9.65916559111943	9.65936806564079	9.300930433684501	9.26314872095027	9.23019927522226	9.4213924660098	9.459174178744028	9.492123624472029	9.003666148858132	8.90317499150076	8.920545275995199	9.105706413574849	9.05692626060036	9.23827736819536
AAED1	8.53866032992825	8.581323741840361	8.55957788071987	8.91166853332098	8.78367829758462	8.848915880946109	8.44308780002723	8.57012717149282	8.46743275218045	8.55528463688703	8.506718898682571	8.65869662140149	8.58043457254012	8.53580205490806	8.67338923899346	8.683390189012739	8.728022706644799	8.590435522559401	8.79659089462323	8.75098382588797	8.67305909626702	8.73268619156823	8.699819627042361	8.72846105325676
AAGAB	10.811790052484698	10.759823101201698	10.8447239756155	11.1212916005806	11.2771924544297	11.0224898311885	11.0865864605214	11.084570928115001	11.0136130360798	11.080415020219	11.0133334937515	11.1075434420226	10.7744221064348	10.7115868267006	10.7584187209498	11.0039087725826	11.066744052316801	11.019912158067601	10.5110662916424	10.570719917294301	10.5805537444968	10.878593985652099	10.888037418874099	10.854951535435697
