	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_KIDNEY_EPITHELIUM_DEVELOPMENT	0	3	5	4	5	0	0	0	0	0	0	0	5	3	8	8	10	3	0	6	0	0	0	0	0	0	2	0	3	0	4	0	7	6	0	10	13	0	3	0	6	0	3	0	9	6	4	8	9	3	0	0	0	11	0	0	5	8	10	6	0	4	12	0	2	0	4	0	0	4	0	9	0	0
GO_KIDNEY_MESENCHYME_DEVELOPMENT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_KIDNEY_MORPHOGENESIS	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	2	3	5	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	5	0	0	0	0	0	0	0	4	4	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	3	0	0	0	0	3	0	0
GO_KINASE_ACTIVITY	0	9	0	15	13	2	0	0	0	0	0	0	15	0	22	21	20	13	15	19	0	6	0	0	0	0	0	7	16	0	0	0	0	16	0	0	20	0	0	8	25	8	0	0	21	0	11	15	19	5	0	11	0	22	0	0	20	26	25	0	0	6	24	7	0	0	0	0	0	9	0	14	0	4
GO_KINASE_BINDING	0	8	14	12	12	0	0	0	0	0	0	0	15	0	20	20	16	10	10	0	0	6	0	0	4	0	7	0	0	0	0	0	0	0	0	0	18	0	0	0	17	0	8	0	15	10	0	0	13	0	0	0	0	16	0	0	0	17	0	15	0	4	21	0	0	0	0	0	0	8	0	0	0	0
GO_KINASE_INHIBITOR_ACTIVITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_KINESIN_BINDING	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
GO_KINESIN_COMPLEX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO_LAMELLIPODIUM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
GO_LAMELLIPODIUM_ASSEMBLY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
